"Symbol","Volume (Contracts) - Futures","Volume (Contracts) - Options","Volume (Contracts) - Total","Value (₹ Lakhs) - Futures","Value (₹ Lakhs) - Options (Premium)","Value (₹ Lakhs) - Total","Open Interest (Contracts)","Underlying"
"NIFTY",104640,150947908,151052548,1758419.047892,6116048.5445215,7874467.5924135,8783107,25694.35
"BANKNIFTY",37274,3583602,3620876,672870.563676,356712.002409,1029582.566085,1138977,60095.15
"INFY",77241,714878,792119,519307.94432,49558.08564,568866.02996,331590,1689.1
"FEDERALBNK",33779,217227,251006,448172.343,42598.269,490770.612,40800,270.75
"HDFCBANK",79093,309413,388506,406463.231845,21943.31546,428406.547305,718037,930.55
"ICICIBANK",37941,222386,260327,375547.02745,27885.74922,403432.77667,319820,1413
"RELIANCE",47455,406478,453933,349139.68255,33625.80275,382765.4853,547452,1461
"VEDL",29786,184018,213804,232146.725815,28348.069365,260494.79518,165642,681.05
"POLYCAB",25352,129353,154705,228659.6265,19183.1084125,247842.7349125,62599,7049.5
"ETERNAL",31486,111483,142969,222966.729275,16373.9363475,239340.6656225,169092,288
"TCS",32806,273643,306449,184369.9017125,11405.5419275,195775.44364,239685,3209
"SBIN",21657,288733,310390,168954.8955,20955.39,189910.2855,216386,1040.6
"ANGELONE",22190,297696,319886,149721.1913,36632.33995,186353.53125,51479,2740.5
"BSE",14188,117469,131657,152002.5490125,24291.0634125,176293.612425,74229,2802.8
"PNB",15046,65909,80955,159229.8104,13494.4704,172724.2808,55989,132.3
"MCX",9236,90519,99755,142601.60025,29704.2993125,172305.8995625,60489,2445
"RBLBANK",15770,39479,55249,162457.8262775,8281.57221,170739.3984875,35027,324.5
"AUBANK",15577,61804,77381,157794.5707,12568.2152,170362.7859,39481,1022.35
"ITC",29305,341411,370716,155828.8768,13464.33984,169293.21664,484562,329
"DIXON",25656,255118,280774,140766.040975,25415.942515,166181.98349,195691,10738
"INDUSINDBK",22372,62115,84487,148819.91341,8014.13025,156834.04366,93392,951.5
