Nifty IT,Nifty Media,Nifty Private Bank,Nifty Realty,Nifty CPSE,Nifty REITs & InvITs,Nifty PSU Bank,Nifty Bank,Nifty Auto,Nifty FMCG,Nifty Metal,Nifty Consumer Durables,Nifty Oil and Gas,Nifty Capital Markets,Nifty Midcap Liquid 15,Nifty100 Liquid 15,Nifty Cement,Nifty India Railways PSU,Nifty India Tourism,Nifty50 Shariah,Nifty India Defence,Nifty Chemicals,Nifty Financial Services,Nifty Financial Services 25/50,Nifty Healthcare,Nifty Pharma,Nifty MidSmall IT & Telecom,Nifty PSE,Nifty India Internet,Nifty Shariah 25,Nifty Financial Services Ex Bank,Nifty MidSmall Healthcare,Nifty Commodities,Nifty India Consumption,Nifty India Digital,Nifty Infrastructure,Nifty MidSmall India Consumption,Nifty MNC,Nifty Mobility,Nifty Non-Cyclical Consumer,Nifty Services Sector,Nifty Transportation & Logistics,Nifty MidSmall Financial Services,Nifty Core Housing,Nifty EV & New Age Automotive,Nifty India Select 5 Corporate Groups (MAATR),Nifty Waves,Nifty Energy,Nifty500 Healthcare,Nifty Conglomerate 50,Nifty Housing,Nifty100 ESG Sector Leaders,Nifty India Manufacturing,Nifty India New Age Consumption,Nifty500 Multicap India Manufacturing 50:30:20,Nifty500 Multicap Infrastructure 50:30:20,Nifty Rural,Nifty100 Enhanced ESG,Nifty100 ESG,Nifty India Infrastructure & Logistics,Nifty IPO,Nifty500 Shariah,Nifty SME Emerge,OTHERS
COFORGE,PVRINOX,HDFCBANK,DLF,SJVN,CAPINVIT,BANKBARODA,HDFCBANK,BOSCHLTD,VBL,TATASTEEL,CENTURYPLY,PETRONET,MCX,COFORGE,TATASTEEL,NUVOCO,CONCOR,SAPPHIRE,CIPLA,UNIMECH,HSCL,HDFCBANK,HDFCBANK,CIPLA,CIPLA,HFCL,CONCOR,CARTRADE,CIPLA,MCX,COHANCE,COALINDIA,TATAPOWER,CYIENT,BHARATFORG,VOLTAS,BOSCHLTD,CONCOR,VOLTAS,HDFCBANK,CONCOR,MCX,VOLTAS,BOSCHLTD,ALOKINDS,RADAAN,SJVN,CIPLA,KEC,HDFCBANK,CIPLA,CIPLA,SAPPHIRE,CIPLA,CONCOR,SBICARD,CIPLA,CIPLA,CONCOR,EUROPRATIK,CIPLA,SHANTHALA,MIDCPNIFTY
OFSS,NETWORK18,AXISBANK,SIGNATURE,COALINDIA,PGINVIT,CENTRALBK,AUBANK,UNOMINDA,NESTLEIND,HINDZINC,VOLTAS,GAIL,ANGELONE,INDUSTOWER,POWERGRID,AMBUJACEM,RVNL,DEVYANI,NESTLEIND,BHARATFORG,NAVINFLUOR,SBICARD,SBICARD,MANKIND,MANKIND,ZENSARTECH,COALINDIA,ANGELONE,COFORGE,SBICARD,MANKIND,AMBUJACEM,DLF,COFORGE,AMBUJACEM,MANKIND,AMBUJACEM,BOSCHLTD,VBL,TATAPOWER,BOSCHLTD,SBICARD,AMBUJACEM,UNOMINDA,VOLTAS,NEXTMEDIA,RPOWER,INDGN,ALOKINDS,VOLTAS,HDFCBANK,VOLTAS,VOLTAS,VOLTAS,RPOWER,VOLTAS,HDFCBANK,HDFCBANK,SJVN,EMMVEE,KEC,SAAKSHI,NIFTY
INFY,NAZARA,IDFCFIRSTB,GODREJPROP,POWERGRID,EMBASSY,PNB,AXISBANK,BHARATFORG,MARICO,HINDALCO,BATAINDIA,CASTROLIND,CAMS,IDFCFIRSTB,KOTAKBANK,JSWCEMENT,IRCON,INDHOTEL,HINDALCO,COCHINSHIP,DEEPAKFERT,AXISBANK,AXISBANK,TORNTPHARM,TORNTPHARM,CYIENT,RVNL,JUSTDIAL,TIINDIA,ANGELONE,NATCOPHARM,ADANIENSOL,VBL,KPITTECH,TATAPOWER,MARICO,COHANCE,BHARATFORG,INDHOTEL,AXISBANK,UNOMINDA,AUBANK,DLF,BHARATFORG,AMBUJACEM,CINEVISTA,COALINDIA,COHANCE,AMBUJACEM,RVNL,BOSCHLTD,BOSCHLTD,WELSPUNLIV,BATAINDIA,KEC,AMBUJACEM,BOSCHLTD,BOSCHLTD,RPOWER,UNIMECH,BLUEDART,QUESTLAB,BANKNIFTY
LTM,SUNTV,KOTAKBANK,SOBHA,COCHINSHIP,INDIGRID,IOB,BANKBARODA,TIINDIA,COLPAL,APLAPOLLO,TITAN,GUJGASLTD,KFINTECH,HDFCAMC,BHARTIARTL,STARCEMENT,BHEL,DBREALTY,INFY,ZENTEC,COROMANDEL,CHOLAFIN,CHOLAFIN,SYNGENE,AUROPHARMA,COFORGE,BHEL,NAUKRI,NESTLEIND,CAMS,NH,TATAPOWER,INDHOTEL,OFSS,DLF,PAGEIND,NESTLEIND,PETRONET,TITAN,POWERGRID,BHARATFORG,ANGELONE,ASIANPAINT,TIINDIA,ADANIENSOL,PVRINOX,ADANIENSOL,JUBLPHARMA,ZENSARTECH,AMBUJACEM,AMBUJACEM,UNOMINDA,BATAINDIA,BHARATFORG,RVNL,TATAPOWER,AMBUJACEM,AMBUJACEM,KEC,ELLEN,RCF,VIVO,NIFTYNXT50
HCLTECH,TIPSMUSIC,INDUSINDBK,ANANTRAJ,NHPC,BIRET,SBIN,IDFCFIRSTB,EICHERMOT,UNITDSPR,JSWSTEEL,VGUARD,AEGISLOG,ABSLAMC,GODREJPROP,INDIGO,INDIACEM,ITI,THELEELA,ASIANPAINT,CYIENTDLM,AARTIIND,ICICIPRULI,ICICIPRULI,AUROPHARMA,BIOCON,KPITTECH,POWERGRID,CCAVENUE,GAIL,MFSL,MEDANTA,TATASTEEL,ADANIPOWER,NAUKRI,INDHOTEL,COLPAL,OFSS,BALKRISIND,NESTLEIND,GAIL,DELHIVERY,CAMS,SAMMAANCAP,KPITTECH,TATAPOWER,BAGFILMS,TATAPOWER,MANKIND,FSL,ADANIENSOL,ADANIENSOL,BHARATFORG,ABLBL,COHANCE,UNOMINDA,ELGIEQUIP,ADANIENSOL,ADANIENSOL,BLUEDART,LOTUSDEV,NUVOCO,DURLAX,FINNIFTY
WIPRO,DBCORP,ICICIBANK,BRIGADE,NTPC,INDUSINVIT,BANKINDIA,KOTAKBANK,M&M,UBL,JSL,KALYANKJIL,BPCL,CDSL,INDUSINDBK,SHRIRAMFIN,JKCEMENT,NTPC,VENTIVE,HCLTECH,DYNAMATECH,DEEPAKNTR,KOTAKBANK,KOTAKBANK,BIOCON,PPLPHARMA,INDUSTOWER,GAIL,THOMASCOOK,LTM,CHOLAFIN,SYNGENE,ADANIPOWER,EICHERMOT,TATATECH,INDUSTOWER,KALYANKJIL,POWERINDIA,TIINDIA,MARICO,NAUKRI,BALKRISIND,MFSL,KEI,EICHERMOT,ABLBL,DGCONTENT,BHEL,ERIS,TATASTEEL,TATAPOWER,TATAPOWER,BHEL,DLF,BHEL,BHARATFORG,MFSL,TATAPOWER,TATAPOWER,RVNL,TATACAP,VOLTAS,VOLERCAR,
MPHASIS,ZEEL,FEDERALBNK,PRESTIGE,NLCINDIA,IRBINVIT,PSB,PNB,EXIDEIND,TATACONSUM,NMDC,AMBER,MGL,UTIAMC,DIXON,ETERNAL,PRSMJOHNSN,MRPL,GMRAIRPORT,TRENT,PARAS,PIIND,SHRIRAMFIN,SHRIRAMFIN,PPLPHARMA,LAURUSLABS,OFSS,NHPC,ETERNAL,ASIANPAINT,ICICIPRULI,KIMS,HINDALCO,TITAN,BHARTIARTL,POWERGRID,GODREJPROP,CASTROLIND,EICHERMOT,PAGEIND,KOTAKBANK,TIINDIA,IDFCFIRSTB,GODREJPROP,HSCL,TATASTEEL,NDTV,PETRONET,NATCOPHARM,TIINDIA,PETRONET,DLF,BALKRISIND,PVRINOX,ELGIEQUIP,HFCL,ADANIPOWER,DLF,DLF,AMBUJACEM,QPOWER,RVNL,WOMANCART,
TECHM,PFOCUS,RBLBANK,PHOENIXLTD,NBCC,KRT,MAHABANK,INDUSINDBK,ASHOKLEY,HINDUNILVR,WELCORP,CERA,HINDPETRO,HDFCAMC,CUMMINSIND,BAJFINANCE,DALBHARAT,IRFC,INDIGO,SUNPHARMA,BEML,UPL,MUTHOOTFIN,MUTHOOTFIN,LAURUSLABS,SUNPHARMA,TATATECH,NTPC,PAYTM,CGPOWER,SHRIRAMFIN,AUROPHARMA,NHPC,NESTLEIND,INFY,GAIL,TORNTPOWER,COLPAL,GMRAIRPORT,NAUKRI,BHARTIARTL,EICHERMOT,ICICIPRULI,AMBER,M&M,TEJASNET,CYBERMEDIA,ADANIPOWER,APLLTD,ADANIPOWER,DLF,TATASTEEL,TATASTEEL,DEVYANI,TATASTEEL,TATAPOWER,EICHERMOT,VBL,VBL,ADANIENSOL,STUDDS,UNOMINDA,PRIMECAB,
TCS,HATHWAY,YESBANK,OBEROIRLTY,BEL,NXST,INDIANB,SBIN,TMPV,EMAMILTD,LLOYDSME,CROMPTON,GSPL,360ONE,POLICYBZR,TRENT,JKLAKSHMI,RITES,EIHOTEL,ULTRACEMCO,BDL,FLUOROCHEM,BAJFINANCE,BAJFINANCE,SUNPHARMA,LUPIN,INTELLECT,IRFC,RTNINDIA,HCLTECH,CDSL,BIOCON,NTPC,M&M,LTM,BHARTIARTL,CROMPTON,UNITDSPR,GAIL,BHARTIARTL,INFY,GMRAIRPORT,CDSL,PNBHOUSING,TATATECH,INDHOTEL,SHEMAROO,THERMAX,NH,CHOLAFIN,TATASTEEL,AXISBANK,TIINDIA,ANGELONE,TIINDIA,BHEL,BANKBARODA,TATASTEEL,TATASTEEL,HFCL,AYE,WELSPUNLIV,UNIHEALTH,
