Nifty IT,Nifty Media,Nifty Private Bank,Nifty Realty,Nifty CPSE,Nifty REITs & InvITs,Nifty PSU Bank,Nifty Bank,Nifty Auto,Nifty FMCG,Nifty Metal,Nifty Consumer Durables,Nifty Oil and Gas,Nifty Capital Markets,Nifty Midcap Liquid 15,Nifty100 Liquid 15,Nifty Cement,Nifty India Railways PSU,Nifty India Tourism,Nifty50 Shariah,Nifty India Defence,Nifty Chemicals,Nifty Financial Services,Nifty Financial Services 25/50,Nifty Healthcare,Nifty Pharma,Nifty MidSmall IT & Telecom,Nifty PSE,Nifty India Internet,Nifty Shariah 25,Nifty Financial Services Ex Bank,Nifty MidSmall Healthcare,Nifty Commodities,Nifty India Consumption,Nifty India Digital,Nifty Infrastructure,Nifty MidSmall India Consumption,Nifty MNC,Nifty Mobility,Nifty Non-Cyclical Consumer,Nifty Services Sector,Nifty Transportation & Logistics,Nifty MidSmall Financial Services,Nifty Core Housing,Nifty EV & New Age Automotive,Nifty India Select 5 Corporate Groups (MAATR),Nifty Waves,Nifty Energy,Nifty500 Healthcare,Nifty Conglomerate 50,Nifty Housing,Nifty100 ESG Sector Leaders,Nifty India Manufacturing,Nifty India New Age Consumption,Nifty500 Multicap India Manufacturing 50:30:20,Nifty500 Multicap Infrastructure 50:30:20,Nifty Rural,Nifty100 Enhanced ESG,Nifty100 ESG,Nifty India Infrastructure & Logistics,Nifty IPO,Nifty500 Shariah,Nifty SME Emerge,OTHERS
INFY,SUNTV,RBLBANK,GODREJPROP,NHPC,INDIGRID,PNB,AUBANK,BHARATFORG,COLPAL,HINDALCO,TITAN,IOC,CAMS,CUMMINSIND,BHARTIARTL,ACC,ITI,DBREALTY,CIPLA,MTARTECH,SRF,CHOLAFIN,,MANKIND,GLAND,BHARTIHEXA,,IXIGO,CGPOWER,LICI,COHANCE,ADANIGREEN,DMART,,ADANIPORTS,BERGEPAINT,3MINDIA,BALKRISIND,,,DELHIVERY,SAMMAANCAP,KEI,OLAELEC,ALOKINDS,NEXTMEDIA,JPPOWER,SAILIFE,CEATLTD,,,KPRMILL,MANYAVAR,SUNDRMFAST,JYOTICNC,POONAWALLA,,,NAVA,PACEDIGITK,GILLETTE,DELAPLEX,NIFTYNXT50
PERSISTENT,NAZARA,FEDERALBNK,BRIGADE,NBCC,EMBASSY,CANBK,,BOSCHLTD,MARICO,SAIL,CROMPTON,RELIANCE,MCX,LUPIN,TRENT,INDIACEM,CONCOR,CHALET,ASIANPAINT,DYNAMATECH,ATUL,PFC,,ZYDUSLIFE,AJANTPHARM,HFCL,,RTNINDIA,,LTF,NEULANDLAB,TORNTPOWER,,,LT,PAGEIND,SCHAEFFLER,MRF,,,AIAENG,MANAPPURAM,BAJAJHFL,FORCEMOT,M&MFIN,ZEEMEDIA,PREMIERENE,CONCORDBIO,JUBLINGREA,,,SUPREMEIND,WELSPUNLIV,TITAGARH,ASAHIINDIA,SUNDARMFIN,,,AFCONS,FABTECH,RCF,IDEALTECHO,NIFTY
LTM,NETWORK18,KOTAKBANK,ANANTRAJ,POWERGRID,NXST,UNIONBANK,,EICHERMOT,DABUR,NMDC,BLUESTARCO,GAIL,KFINTECH,POLICYBZR,ETERNAL,ULTRACEMCO,BHEL,TBOTEK,SUNPHARMA,PARAS,PIDILITIND,HDFCLIFE,,ALKEM,WOCKPHARMA,IDEA,,CCAVENUE,,ABCAPITAL,ONESOURCE,ADANIENSOL,,,,VMM,POWERINDIA,,,,APOLLOTYRE,HUDCO,POLYCAB,JBMA,AWL,UFO,INOXWIND,APLLTD,BAJAJHLDNG,,,ASTRAL,,CARBORUNIV,ZFCVINDIA,,,,TRITURBINE,OMNI,GPIL,RICHA,MIDCPNIFTY
WIPRO,TIPSMUSIC,BANDHANBNK,PHOENIXLTD,NTPC,KRT,IOB,,EXIDEIND,UNITDSPR,LLOYDSME,KALYANKJIL,GSPL,IEX,INDUSTOWER,INDIGO,AMBUJACEM,RVNL,GMRAIRPORT,DRREDDY,SOLARINDS,PCBL,MUTHOOTFIN,,ABBOTINDIA,JBCHEPHARM,INTELLECT,,NAUKRI,,PNBHOUSING,MEDANTA,ADANIPOWER,,,,,PGHH,,,,,,,ATHERENERG,TATAINVEST,SIGNPOST,GVT&D,ASTRAZEN,GODREJAGRO,,,HONAUT,,ELGIEQUIP,KPIL,,,,JSWINFRA,LAXMIDENTL,NSLNISP,DENEERS,BANKNIFTY
HCLTECH,PFOCUS,ICICIBANK,OBEROIRLTY,OIL,IRBINVIT,BANKINDIA,,ASHOKLEY,UBL,HINDZINC,HAVELLS,MGL,CDSL,SUZLON,BAJFINANCE,BIRLACORPN,RAILTEL,JUBLFOOD,MAXHEALTH,HAL,UPL,ICICIPRULI,,LAURUSLABS,,TATATECH,,NYKAA,,MFSL,NATCOPHARM,TATAPOWER,,,,,ENRIN,,,,,,,ARE&M,ABLBL,BTML,RPOWER,INDGN,FSL,,,KAYNES,,FINCABLES,RKFORGE,,,,ACE,QPOWER,KSB,FINBUD,FINNIFTY
TCS,PVRINOX,AXISBANK,SOBHA,COCHINSHIP,INDUSINVIT,UCOBANK,,BAJAJ-AUTO,HINDUNILVR,NATIONALUM,AMBER,CASTROLIND,ANANDRATHI,,SHRIRAMFIN,RAMCOCEM,BEML,DEVYANI,,ZENTEC,CHAMBLFERT,RECLTD,,DIVISLAB,,SONATSOFTW,,PAYTM,,,GLAXO,JSWENERGY,,,,,HYUNDAI,,,,,,,OLECTRA,TEJASNET,TIPSFILMS,THERMAX,JUBLPHARMA,KEC,,,,,,KIRLOSENG,,,,IRB,SMARTWORKS,RELINFRA,DEEM,
MPHASIS,HATHWAY,YESBANK,DLF,NLCINDIA,ANANTAM,PSB,,M&M,GODREJCP,APLAPOLLO,CENTURYPLY,PETRONET,HDFCAMC,,,STARCEMENT,RITES,VENTIVE,,CYIENTDLM,TATACHEM,LICHSGFIN,,FORTIS,,LTTS,,IIFLCAPS,,,KIMS,,,,,,TIMKEN,,,,,,,JWL,TTML,CINEVISTA,IREDA,CAPLIPOINT,GODREJIND,,,,,,NCC,,,,TECHNOE,ALLTIME,REDINGTON,AGUL,
TECHM,ZEEL,INDUSINDBK,PRESTIGE,COALINDIA,CAPINVIT,BANKBARODA,,HEROMOTOCO,PATANJALI,JSWSTEEL,VOLTAS,ATGL,NAM-INDIA,,,SHREECEM,IRCON,BLS,,MAZDOCK,BAYERCROP,SBILIFE,,GLENMARK,,KPITTECH,,THOMASCOOK,,,ASTERDM,,,,,,CRISIL,,,,,,,MSUMI,ABFRL,SILLYMONKS,WAAREEENER,AGARWALEYE,,,,,,,PRAJIND,,,,KIRLOSBROS,HILINFRA,BBTC,SHRIAHIMSA,
OFSS,DBCORP,HDFCBANK,LODHA,SJVN,MINDSPACE,SBIN,,SONACOMS,ITC,HINDCOPPER,WHIRLPOOL,BPCL,BSE,,,JSWCEMENT,IRCTC,INDHOTEL,,GRSE,DEEPAKNTR,JIOFIN,,SYNGENE,,TATAELXSI,,FIRSTCRY,,,NH,,,,,,ABB,,,,,,,,ABREL,DGCONTENT,CESC,METROPOLIS,,,,,,,GESHIP,,,,TARIL,MEIL,VTL,SONAMAC,
