"Symbol","Volume (Contracts) - Futures","Volume (Contracts) - Options","Volume (Contracts) - Total","Value (₹ Lakhs) - Futures","Value (₹ Lakhs) - Options (Premium)","Value (₹ Lakhs) - Total","Open Interest (Contracts)","Underlying"
"NIFTY",50824,34937396,34988220,850902.031044,2130656.911188,2981558.942232,7974342,25631.9
"BANKNIFTY",11612,1185856,1197468,210122.670765,165942.585207,376065.25597199996,916309,60018.25
"HAL",38995,229529,268524,234515.037975,40104.04701,274619.084985,173543,4043.5
"TRENT",34148,316444,350592,138434.91124,28934.42341,167369.33465,156247,4119.5
"INFY",23372,193789,217161,144034.92824,17410.65988,161445.58812,334741,1517.8
"MCX",8422,49596,58018,128425.606,24784.252375,153209.858375,60798,2403.4
"DIXON",22630,177467,200097,128529.505225,24569.374465,153098.87969,126242,11427
"VEDL",16448,84856,101304,123837.87581,16974.2691,140812.14491,161367,653.95
"CUMMINSIND",14174,103377,117551,120401.4167,18335.75586,138737.17256,30153,4378.9
"MIDCPNIFTY",6311,159489,165800,103472.176632,27703.092131999998,131175.268764,131276,13689.9
"BHARTIARTL",12113,56816,68929,116155.463265,7161.4101275,123316.8733925,153571,1996.1
"HINDZINC",12740,79008,91748,94497.57016,17855.2193925,112352.7895525,119261,607.1
"AXISBANK",12176,75982,88158,101022.58175,6879.950625,107902.532375,184386,1323.3
"TCS",16696,177769,194465,88211.123875,13323.3758,101534.499675,309183,2992.1
"SBIN",10788,78345,89133,87114.297225,10726.6314,97840.928625,177842,1074.5
"PFC",13945,60474,74419,74663.37697,9566.76591,84230.14288,92351,408.25
"RELIANCE",10075,101320,111395,73195.80645,8938.3277,82134.13415,389853,1441.9
"KOTAKBANK",9022,20951,29973,74064.0704,2886.35,76950.4204,141914,406.4
"ICICIBANK",7387,46189,53576,72919.86982,3863.86063,76783.73045,252426,1404.3
"TATASTEEL",6185,28200,34385,66532.5331,6592.49085,73125.02395,80612,196.36
"POLICYBZR",12825,41914,54739,66692.02155,6401.89396,73093.91551,49504,1518.6
"BSE",5839,27543,33382,62905.648725,8794.1003625,71699.7490875,57936,2890.1
"NATIONALUM",4447,20013,24460,59440.192125,7454.37975,66894.571875,41080,360.95
"MUTHOOTFIN",5927,20104,26031,58494.742515,5298.3334525,63793.0759675,33245,3584.8
"KAYNES",14431,60103,74534,52420.59202,9011.74069,61432.33271,78747,3629
"HINDALCO",8531,29594,38125,55844.87916,4855.93437,60700.81353,94307,935
"INDIGO",7337,52056,59393,53556.03375,6794.17983,60350.21358,98660,4875.9
"NYKAA",6481,25628,32109,52466.725,5881.3109375,58348.0359375,20746,258.5
"BEL",8143,70367,78510,50288.7893625,8022.787905,58311.5772675,186843,431.5
"ETERNAL",7253,48197,55450,51102.42173,6842.55266,57944.97439,154645,286.35
"WIPRO",7094,21035,28129,49929.5706,2280.0252,52209.5958,90552,232.8
"RECLTD",8893,39570,48463,47270.80736,4926.50284,52197.3102,115483,382.6
"GODREJPROP",9745,55881,65626,45091.5485625,6589.443905,51680.9924675,72785,1682.1
"TMPV",15615,81253,96868,46222.81848,5402.40888,51625.22736,183085,372.85
"HDFCBANK",9056,65974,75030,47501.63759,4075.28231,51576.9199,595779,949.5
"IDEA",5788,21029,26817,46766.34981,4455.6299925,51221.9798025,138137,11.24
"JUBLFOOD",6841,30852,37693,45646.44,5314.583375,50961.023375,29237,543.3
"TIINDIA",8088,71976,80064,39629.67554,8883.90692,48513.58246,31652,2383
"BAJFINANCE",6030,43884,49914,43491.300675,4055.589525,47546.8902,165943,966.55
"IOC",4818,29203,34021,41176.702125,5697.6674625,46874.3695875,40365,174.94
"LUPIN",4277,25327,29604,40474.457735,5174.0461775,45648.5039125,26861,2214.4
"DIVISLAB",7012,19279,26291,42478.68996,2423.39768,44902.08764,49987,6151.5
"NTPC",7398,68981,76379,40614.67605,4254.65805,44869.3341,126718,366.7
"ADANIPORTS",5255,39013,44268,39155.145375,5371.693585,44526.83896,84515,1574.3
"JIOFIN",6224,42286,48510,39512.53293,4494.09253,44006.62546,127304,270
"DMART",6860,30752,37612,39844.5681,2899.641045,42744.209145,55157,3940.7
"SHRIRAMFIN",4893,16938,21831,39815.7050775,2352.62115,42168.3262275,72487,985.8
"PNB",3837,12769,16606,38237.288,2417.3256,40654.6136,52881,123.82
"MARUTI",4580,71380,75960,34391.428,5251.910205,39643.338205,149320,15106
"ABCAPITAL",3413,13478,16891,35895.05345,2940.3686,38835.42205,38044,339.9
"HEROMOTOCO",3816,35568,39384,33077.06793,5362.461555,38439.529485,52146,5789.5
"HINDPETRO",3671,17378,21049,34667.38764,3376.0818225,38043.4694625,31970,456.5
"HCLTECH",6074,39987,46061,34502.75969,3066.434035,37569.193725,85633,1603.2
"HINDUNILVR",4570,36269,40839,32989.73094,4246.08777,37235.81871,76563,2367.2
"ADANIENT",4869,22093,26962,33526.6992123,3594.1632567,37120.862469,114389,2231.4
"CANBK",3476,9899,13375,34991.6733,1962.6516,36954.3249,62158,148.57
"TATAPOWER",6158,54697,60855,32522.607525,4031.437755,36554.04528,83193,363
"M&M",4651,25221,29872,33178.4322,3073.26414,36251.69634,136987,3575.3
"HDFCAMC",4145,14154,18299,34299.08388,1887.86601,36186.94989,35805,2753.9
"ABB",4491,19244,23735,32222.71845,3018.0755375,35240.7939875,37731,5818.5
"ITC",6163,64933,71096,30907.42944,3402.0664,34309.49584,282683,310.2
"LT",4368,34497,38865,31088.918315,3007.0022325,34095.9205475,152858,4070.3
"NMDC",5431,20923,26354,30975.5394,2877.1632,33852.7026,76104,84.94
"UNOMINDA",4591,15777,20368,30744.913705,2449.74378,33194.657485,15588,1230.5
"RVNL",6244,18988,25232,28746.0619675,2597.612105,31343.6740725,89230,317.9
"COFORGE",4570,20577,25147,27578.9823,2737.5268125,30316.5091125,57211,1598.3
"ASHOKLEY",2816,8729,11545,28113.483,1759.5415,29873.0245,48162,201.44
"BANKBARODA",3289,10901,14190,28056.6067275,1651.0966875,29707.703415,58771,289.7
"PERSISTENT",4373,26929,31302,26083.74082,3220.75213,29304.49295,41128,5962.5
"SUZLON",6113,19557,25670,27057.32544,1932.3598975,28989.6853375,61354,48.96
"INDUSINDBK",4272,10038,14310,27284.59167,1116.03205,28400.62372,68274,904.8
"ONGC",4058,34909,38967,24410.092275,3988.6767,28398.768975,93876,269.15
"BDL",5374,43991,49365,23522.37601,4859.79816,28382.17417,63951,1270.5
"POWERINDIA",2808,5786,8594,26700.66046,1655.87852,28356.53898,11243,19022
