symbol,vol_cum,vol_val_cum,price
NIFTY,62876,998162.11,24359.3
BANKNIFTY,27118,457848.60,56116
BHARATFORG,20282,197236.24,1963.4
HDFCBANK,46156,202471.22,798.15
POLYCAB,14716,163484.40,8959
BAJAJ-AUTO,18869,149279.11,10598
BHEL,13999,147075.38,406.95
ICICIBANK,18560,167725.76,1279.5
COALINDIA,25012,156433.63,465.55
SBIN,17426,142070.10,1094.4
PAYTM,14495,123416.10,1197.6
BSE,7003,101759.09,3961.3
MIDCPNIFTY,6018,104838.07,14563.95
HDFCLIFE,17373,119023.83,625.9
HEROMOTOCO,13245,106945.62,5375.5
M&M,15024,101464.91,3384.8
CGPOWER,12737,93180.30,858
LT,14248,99839.64,4028.1
KOTAKBANK,12473,94900.14,380.05
RELIANCE,11669,84359.74,1438.7
POLICYBZR,15299,89787.17,1690.3
KEI,9590,85186.68,5121.9
ASHOKLEY,9246,78921.87,170.86
TCS,18891,79280.00,2404.7
INFY,16287,76303.07,1166.1
HAL,9562,67971.54,4783
TITAN,9614,72474.07,4311.8
MCX,3662,67961.84,3039.7
VEDL,18685,67772.59,308.25
INDIGO,10005,67934.80,4505.9
ABB,7239,64581.49,7173
DIXON,11613,65240.05,11125
AXISBANK,7525,61109.19,1291.2
LUPIN,5269,55444.98,2455
COFORGE,11257,54959.56,1288.3
YESBANK,7839,54971.85,22.6
HINDPETRO,6740,54491.15,398
BRITANNIA,7549,54719.52,5784.5
BHARTIARTL,5986,52266.94,1829.3
SHRIRAMFIN,6064,50876.82,1016
BLUESTARCO,8744,50394.62,1749.4
BEL,7854,49284.81,438.8
AMBER,4833,42951.60,8794
LAURUSLABS,4373,45026.21,1209.3
KPITTECH,14486,44356.22,714.8
IDEA,5718,46056.58,11.23
TATASTEEL,7258,43588.50,217.26
WIPRO,8029,46718.65,197.5
DRREDDY,5474,44485.33,1306.9
GODREJCP,8595,44805.03,1039.3
BPCL,7128,43765.08,308.6
ETERNAL,6821,42836.57,257.97
JIOFIN,7455,44314.11,250.9
ADANIPOWER,5216,43178.78,230.8
BAJFINANCE,5552,40807.24,975.3
NTPC,6686,40210.95,398.7
ADANIPORTS,4693,38763.60,1731.2
ADANIENT,4615,36226.21,2519.5
MARUTI,5146,35590.78,13810
POWERINDIA,4184,36135.91,34735
EICHERMOT,4887,36337.66,7343.5
HINDZINC,4257,33598.75,642.4
CROMPTON,6931,36329.87,290.4
CANBK,4017,37247.35,136.27
HCLTECH,8726,36315.97,1186
HINDUNILVR,5097,35078.23,2278
SAIL,4171,37263.42,188.5
SRF,5983,32825.59,2774.8
ADANIGREEN,3710,30520.62,1362.7
INDUSTOWER,4882,33714.64,403.35
TVSMOTOR,4863,31492.60,3704.5
MOTHERSON,4141,32978.12,129.86
EXIDEIND,4925,31721.51,362.3
ASIANPAINT,4818,30584.44,2528.4
HINDALCO,4258,31505.43,1056.2
DELHIVERY,3040,30408.99,480.3
CUMMINSIND,2992,32284.80,5395
AMBUJACEM,6514,30886.13,449.85
PNB,3359,29615.93,109.31
BIOCON,3021,29041.56,383.65
BOSCHLTD,3051,29113.99,38005
RVNL,6509,30277.95,308.25
ULTRACEMCO,4831,29548.88,12175
KAYNES,6350,27665.28,4360.8
VOLTAS,5467,27948.32,1363.3
INDUSINDBK,4257,28216.62,948.3
CDSL,4699,28484.06,1271.6
SHREECEM,4094,26316.04,25665
IOC,3848,27719.60,147.1
ADANIENSOL,2827,26657.55,1388.1
PIDILITIND,3766,27236.53,1446.8
RECLTD,5033,25772.70,360.85
CHOLAFIN,2546,27102.28,1690.1
FEDERALBNK,3604,26622.19,297
GLENMARK,3022,27123.38,2376.4
ITC,5086,25364.85,308.9
NATIONALUM,3389,25881.80,405.5
ONGC,3816,24390.84,283.6
ABCAPITAL,2062,23889.34,369.6
TMPV,8386,24343.95,360.55
BDL,4605,23197.28,1453.3
BANKBARODA,3093,24527.98,270.55
TATAPOWER,3619,23251.64,439.9
JINDALSTEL,2973,23685.99,1260.3
HYUNDAI,4897,24573.80,1842.4
MUTHOOTFIN,2173,21476.33,3582.9
TRENT,5006,21736.66,4298.5
LTF,3410,23136.98,303.45
RBLBANK,2125,22676.76,336.9
