"Symbol","Volume (Contracts) - Futures","Volume (Contracts) - Options","Volume (Contracts) - Total","Value (₹ Lakhs) - Futures","Value (₹ Lakhs) - Options (Premium)","Value (₹ Lakhs) - Total","Open Interest (Contracts)","Underlying"
"NIFTY",187370,254828366,255015736,3356494.583001,4395296.0852075,7751790.668208499,8628259,25938.85
"BANKNIFTY",59103,68836200,68895303,1132247.820534,1226864.375838,2359112.196372,1748392,59171.25
"HDFCBANK",150434,149829,300263,820278.45416,7832.481745,828110.935905,564866,995
"ICICIBANK",82059,68584,150643,773839.11822,8341.21092,782180.32914,297129,1347
"RELIANCE",74281,150476,224757,575456.95575,11326.66665,586783.6224,366080,1541
"IDEA",55624,42071,97695,479485.1414625,11390.6634075,490875.80487,168860,12.11
"INFY",63277,80722,143999,413633.40488,5583.77432,419217.1792,353632,1623.5
"DIXON",57629,522292,579921,341580.03284,35732.272865,377312.305705,196729,11856
"BHARTIARTL",37099,57921,95020,370177.859655,4203.9713025,374381.8309575,161186,2099.4
"SBIN",48652,120735,169387,354734.466825,7610.36175,362344.828575,201692,973.1
"KOTAKBANK",40955,40272,81227,353765.04892,3369.05136,357134.10028,154993,2155.2
"BEL",60572,122660,183232,340071.74187,11199.0275475,351270.7694175,194841,395.95
"MIDCPNIFTY",11318,6619500,6630818,196792.704366,144866.775044,341659.47941,252474,13601.4
"TCS",56873,107343,164216,324090.7073075,5610.31569,329701.0229975,266982,3255
"ETERNAL",47427,60168,107595,320220.4131325,7723.39123,327943.8043625,189952,276.6
"HAL",47322,96174,143496,308714.762325,8601.344985,317316.10731,152094,4319.9
"VEDL",42784,96934,139718,296106.65221,11801.18201,307907.83422,191338,606
"MARUTI",34528,205527,240055,288230.2986,10625.87254,298856.17114,132345,16625
"INDIGO",38000,134991,172991,286541.388045,9708.889365,296250.27741,192037,5008
"ADANIENT",40875,69912,110787,279591.32302290003,9539.0794248,289130.4024477,148935,2215.8
"AXISBANK",35783,72252,108035,278787.806125,6403.6448125,285191.4509375,196906,1246
"BAJFINANCE",37281,48685,85966,278022.22785,5880.3735,283902.60135,195917,991
"SHRIRAMFIN",32646,112744,145390,263079.546015,14319.93387,277399.479885,121839,974.55
"SAIL",40969,59685,100654,268406.98759,7990.3149,276397.30249,73246,141.3
"HINDALCO",42120,73327,115447,259884.86391,7293.42215,267178.28606,159338,883.3
"ITC",39859,44085,83944,257108.59968,3170.83024,260279.42992,189750,401.1
"TATASTEEL",25442,84433,109875,244066.31975,11504.63325,255570.953,100577,175.68
"HEROMOTOCO",24445,158004,182449,209043.06969,12938.04729,221981.11698,80358,5699
"JIOFIN",31505,30483,61988,217163.88916,3777.95353,220941.84269,129605,293.2
"LT",30480,52803,83283,216515.39644,3388.1592675,219903.5557075,137257,4056
"CANBK",20505,41988,62493,211686.604875,7438.373775,219124.97865,50283,154.2
"BSE",21204,77040,98244,207347.0322,11191.14465,218538.17685,87233,2595
"RECLTD",45104,40794,85898,213819.7320825,4082.0669525,217901.799035,138694,351.8
"COFORGE",32901,101444,134345,205132.0605,10921.977,216054.0375,112032,1668.4
"UPL",19566,29607,49173,207458.1306825,5291.88204,212750.0127225,51348,787.45
"INDUSINDBK",35591,29420,65011,209387.63468,2397.20691,211784.84159,107781,841.45
"M&M",27980,87540,115520,204066.85914,5696.23346,209763.0926,137856,3660
"PNB",20339,33972,54311,198144.488,3765.916,201910.404,60997,121.96
"EICHERMOT",22791,53099,75890,196245.62067,4876.224135,201121.844805,62944,7132.5
"ASHOKLEY",22162,36792,58954,195017.19,5671.424,200688.614,64227,179.05
"BAJAJFINSV",38228,36991,75219,192589.975675,2933.783725,195523.7594,127034,2040.2
"DLF",33755,37696,71451,190255.0296075,5086.48701,195341.5166175,112710,682
"MCX",12966,166954,179920,177552.3349875,15266.5695125,192818.9045,67681,10942
