symbol,volume_fast,vol_surge,ltp,price_surge,price_ma_action
HYUNDAI,468.06,1106.63,1842.2,2.65,1
BANDHANBNK,360.24,852.35,207.05,1.65,1
ADANIPOWER,216.02,807.48,225.05,-2.06,-1
KEI,182.35,781.16,5109.5,-0.12,-1
LICI,234.32,742.26,802.05,0.03,1
MANKIND,184.26,702.24,2427.9,-2.06,-1
CIPLA,284.14,691.74,1349.0,-0.77,-1
BOSCHLTD,160.19,659.66,38040.0,-2.4,-1
ABCAPITAL,181.18,656.58,362.3,-1.0,-1
SUZLON,200.06,654.13,54.8,-1.57,-1
360ONE,180.98,648.02,1118.6,-1.31,-1
WAAREEENER,173.75,640.48,3229.7,-1.64,-1
PHOENIXLTD,206.3,636.38,1831.5,0.59,1
LODHA,199.36,620.31,960.35,-1.68,-1
PRESTIGE,293.5,620.29,1503.2,0.89,1
PREMIERENE,182.32,619.75,1011.4,-2.48,-1
BAJAJFINSV,258.17,616.62,1814.1,1.59,1
EICHERMOT,174.26,576.25,7302.5,-1.12,-1
HINDALCO,248.09,574.16,1044.6,0.82,1
FORTIS,221.5,570.04,949.4,-0.53,-1
PGEL,138.13,569.34,530.3,1.29,1
MAZDOCK,225.29,567.83,2651.6,-0.72,-1
BIOCON,160.82,566.27,378.85,-3.76,-1
BHARTIARTL,214.09,553.39,1833.2,-0.12,-1
EXIDEIND,103.5,552.34,361.45,-0.19,-1
SHRIRAMFIN,198.05,543.7,1006.5,0.61,1
TORNTPHARM,216.24,539.29,4381.1,0.42,1
TATAPOWER,158.48,532.84,435.5,-0.36,-1
TVSMOTOR,155.73,527.76,3705.0,-0.94,-1
CHOLAFIN,216.96,524.43,1672.7,-2.3,-1
NUVAMA,177.77,524.31,1633.2,2.22,1
BPCL,140.91,515.37,303.05,0.25,1
DRREDDY,200.31,515.32,1293.9,-1.27,-1
OBEROIRLTY,262.0,513.2,1699.5,1.38,1
COCHINSHIP,147.17,512.24,1777.0,-1.28,-1
JINDALSTEL,163.82,500.65,1247.1,1.21,1
COALINDIA,108.65,500.39,457.4,-0.03,-1
MFSL,183.4,500.31,1697.0,0.95,1
VMM,263.54,496.77,124.0,-0.4,-1
JUBLFOOD,154.1,496.24,473.55,-1.0,-1
